"Chapitre 1 ","Chapitre 2","Chapitre 3","Chapitre 4","Chapitre 5"
"12","51","5","96","88"
"100","27","85","68","0"
"24","24","10","20","80"
"20","75","50","100","28"
"56","54","20","80","92"
"72","30","0","32","4"
"76","54","25","96","64"
"8","63","85","68","84"
"44","3","0","100","56"
"28","84","65","76","12"
"60","33","100","0","16"
"8","63","25","32","64"
"32","12","80","8","44"
"68","45","95","12","28"
"80","90","35","40","20"
"100","12","95","12","52"
"0","24","0","68","12"
"52","0","70","72","68"
"64","72","0","76","68"
"48","0","60","48","12"
"56","9","100","72","68"
"48","51","10","92","12"
"24","27","100","40","52"
"64","15","95","64","36"
"12","90","90","16","24"
"16","45","70","80","76"
"52","87","70","40","28"
"12","6","40","12","28"
"48","93","10","64","8"
"88","54","55","96","12"
"56","102","80","68","16"
"48","75","75","48","12"
"12","18","75","60","16"
"100","36","100","100","44"
"76","12","55","76","48"
"16","24","60","52","8"
"48","60","100","80","88"
"100","54","80","88","32"
"4","72","50","48","92"
"0","27","15","32","4"
"32","78","5","0","0"
"36","9","95","88","44"
"24","84","5","76","92"
"24","96","55","12","52"
"64","45","15","88","20"
"40","24","10","84","28"
"4","69","45","84","100"
"56","48","45","36","68"
"96","72","85","60","96"
"24","24","10","32","20"
"80","81","0","32","24"
"40","36","60","20","28"
"8","69","35","0","16"
"0","78","5","68","8"
"12","75","65","80","84"
"84","60","25","20","84"
"84","60","15","88","96"
"32","57","15","80","0"
"40","75","100","12","84"
"4","75","20","48","16"
"48","21","20","16","84"
"12","96","15","64","100"
"44","54","60","88","64"
"76","96","55","8","4"
"28","75","85","28","28"
"88","69","65","20","92"
"80","93","20","84","52"
"12","78","30","32","44"
"84","45","30","48","68"
"64","87","100","56","56"
"76","99","100","12","40"
"60","18","95","24","8"
"12","75","25","20","96"
"28","60","35","72","72"
"28","39","45","52","36"
"68","90","30","80","32"
"80","57","50","88","56"
"36","51","35","52","4"
"8","42","10","52","60"
"24","9","95","32","52"
"32","93","15","20","100"
"92","36","90","16","52"
"92","9","80","100","52"
"36","12","90","88","76"
"56","30","50","12","0"
"32","42","15","28","96"
"40","42","95","12","12"
"16","39","70","80","100"
"72","15","55","84","16"
"76","87","0","48","24"
"40","60","0","84","24"
"60","60","100","48","64"
"24","90","55","64","4"
"24","51","100","4","56"
"56","57","55","64","44"
"68","39","10","100","16"
"36","51","45","32","52"
"80","66","50","40","64"
"76","69","25","76","28"
"4","93","80","96","40"
"92","75","35","88","28"
"56","15","95","72","12"
"84","69","30","8","88"
"64","27","30","68","96"
"84","72","85","20","12"
"40","36","95","24","96"
"96","24","65","16","92"
"56","30","55","92","40"
"96","96","10","36","24"
"32","48","100","16","96"
"40","57","80","4","64"
"80","45","15","16","48"
"44","30","15","44","28"
"16","48","35","76","80"
"92","21","20","60","0"
"36","24","20","48","60"
"20","75","10","100","16"
"48","99","0","8","20"
"80","39","90","36","72"
"20","45","30","96","40"
"48","0","60","24","40"
"16","96","15","84","100"
"56","63","15","24","100"
"76","54","60","36","24"
"68","45","40","88","72"
"0","57","75","84","24"
"96","60","15","36","88"
"8","93","40","92","48"
"20","36","100","20","16"
"32","45","60","92","36"
"100","48","35","32","60"
"72","54","100","8","20"
"8","84","95","48","92"
"88","15","35","76","100"
"64","21","45","36","12"
"36","15","30","36","72"
"68","18","95","20","12"
"36","81","10","8","56"
"24","45","25","56","76"
"80","12","65","80","76"
"60","45","40","48","24"
"44","24","45","68","4"
"56","57","85","40","52"
"88","78","50","8","8"
"40","24","15","60","84"
"80","54","25","32","60"
"68","39","0","44","52"
"84","48","80","24","84"
"60","51","50","96","20"
"52","51","50","44","28"
"76","0","100","0","72"
"44","36","85","56","0"
"32","39","90","88","28"
"36","72","5","92","36"
"48","78","95","96","60"
"36","63","70","8","92"
"96","72","35","36","76"
"84","42","65","64","52"
"52","93","0","40","48"
"84","57","60","88","4"
"44","72","25","48","44"
"60","93","30","68","68"
"8","0","25","48","68"
"76","6","85","76","88"
"24","78","30","92","20"
"44","69","30","84","28"
"20","24","50","92","0"
"40","48","55","0","0"
"68","54","95","48","80"
"96","87","40","8","48"
"32","69","50","88","56"
"32","87","0","36","24"
"60","18","5","72","44"
"40","9","30","28","44"
"60","18","65","56","56"
"8","60","45","100","68"
"20","96","10","24","92"
"20","75","50","32","0"
"32","69","80","64","56"
"36","93","95","28","24"
"40","33","45","60","44"
"4","12","65","12","20"
"32","33","5","20","12"
"20","18","90","72","48"
"28","33","80","12","96"
"48","24","0","68","36"
"20","15","40","76","72"
"8","63","100","40","52"
"12","39","70","52","24"
"76","54","0","12","92"
"32","72","10","4","24"
"44","81","10","36","4"
"56","39","60","100","60"
"72","81","35","20","72"
"100","81","5","92","76"
"40","84","10","40","76"
"60","99","85","84","64"
"28","33","40","68","32"
"96","48","10","76","44"
"8","42","30","36","28"
"100","42","15","24","92"
"56","33","90","44","28"
"64","63","100","12","36"
"44","27","100","0","92"
"24","69","75","44","76"
"44","24","50","20","24"
"56","18","65","32","60"
"28","48","45","12","12"
"92","69","0","64","24"
"56","48","85","84","44"
"44","72","30","32","28"
"96","18","5","64","44"
"20","51","75","12","84"
"16","93","80","72","72"
"32","66","100","36","44"
"16","12","25","64","68"
"48","102","75","4","52"
"8","6","70","84","72"
"64","78","75","8","100"
"12","90","100","24","68"
"20","51","100","84","60"
"8","15","75","88","24"
"36","3","70","48","100"
"84","36","35","40","80"
"96","63","15","68","48"
"40","39","35","76","72"
"48","90","10","76","84"
"92","93","100","96","28"
"28","3","50","56","4"
"32","45","30","40","92"
"24","48","50","0","24"
"32","57","85","84","76"
"40","99","55","76","12"
"52","51","80","36","28"
"88","42","45","72","12"
"64","21","0","20","80"
"48","96","5","40","24"
"48","81","25","60","72"
"100","96","100","100","88"
"44","27","45","100","52"
"80","48","85","68","16"
"4","93","90","32","24"
"40","9","35","60","32"
"100","3","15","8","100"
"4","96","70","24","0"
"72","69","80","32","24"
"56","69","80","72","40"
"0","18","30","60","60"
"52","30","30","32","100"
"16","42","30","68","96"
"24","39","60","8","84"
"8","75","5","84","60"
"36","69","70","60","52"
"56","84","20","56","72"
"60","36","95","0","32"
"8","99","35","76","60"
"44","54","80","4","56"
"8","42","5","60","52"
"80","63","80","60","0"
"84","99","65","4","76"
"96","12","40","40","60"
"96","72","10","12","88"
"8","87","80","84","100"
"0","18","0","92","100"
"24","9","80","84","96"
"20","60","75","96","44"
"20","60","95","56","68"
"44","69","5","64","0"
"12","6","100","24","36"
"12","48","100","40","76"
"64","21","0","76","72"
"100","6","20","20","68"
"80","78","70","4","8"
"80","57","0","24","64"
"8","69","15","4","20"
"68","81","40","52","92"
"28","75","60","64","80"
"64","87","15","96","56"
"52","39","80","64","4"
"84","36","20","100","80"
"4","3","10","28","40"
"48","36","55","84","40"
"0","75","50","24","60"
"44","69","85","68","56"
"56","90","50","28","32"
"36","72","45","84","56"
"88","75","0","16","12"
"96","3","10","100","4"
"4","99","60","32","28"
"4","54","80","40","84"
"0","72","50","8","24"
"44","81","100","72","20"
"12","36","95","36","16"
"92","27","30","36","24"
"40","45","35","8","8"
"72","78","0","72","8"
"56","57","25","56","32"
"4","99","25","24","48"
"32","24","55","80","36"
"20","60","75","64","80"
"64","15","85","48","12"
"84","21","65","92","88"
"64","42","40","52","96"
"8","15","70","32","96"
"20","90","55","84","24"
"16","90","70","60","64"
"0","84","30","60","0"
"16","18","35","52","60"
"88","12","15","80","4"
"36","78","80","68","56"
"84","81","35","36","0"
"28","18","60","28","0"
"68","27","95","68","24"
"32","48","30","88","48"
"24","45","70","100","88"
"52","54","85","80","92"
"96","33","75","20","80"
"36","72","20","36","52"
"64","57","10","52","100"
"60","15","50","60","44"
"20","6","50","64","24"
"52","30","15","28","28"
"60","6","5","96","88"
"24","24","75","16","96"
"68","3","40","20","0"
"60","18","5","40","16"
"32","39","5","12","48"
"4","63","30","80","16""Chapitre 1 ","Chapitre 2","Chapitre 3","Chapitre 4","Chapitre 5"
"60","72","95","80","8"
"92","75","85","64","80"
"88","93","45","8","28"
"92","9","85","60","84"
"88","6","85","20","52"
"80","6","70","64","72"
"28","18","30","88","32"
"92","21","85","12","56"
"4","6","30","60","88"
"24","93","60","12","84"
"24","3","75","24","52"
"80","75","5","0","100"
"88","12","30","24","32"
"92","3","35","100","64"
"28","6","5","8","100"
"16","27","95","0","56"
"40","27","100","84","12"
"32","54","75","64","24"
"60","60","40","80","12"
"12","51","100","68","76"
"76","51","90","68","36"
"28","0","40","64","84"
"68","63","80","88","4"
"72","24","75","32","0"
"4","15","85","68","40"
"0","81","90","92","16"
"60","36","100","60","12"
"24","87","65","0","8"
"0","42","0","68","40"
"8","78","80","32","88"
"8","42","70","12","76"
"4","21","20","88","16"
"88","39","90","52","88"
"44","69","5","72","28"
"40","60","30","36","100"
"28","39","60","40","100"
"100","48","85","76","64"
"92","57","50","84","0"
"32","27","50","16","52"
"28","57","80","12","56"
"60","33","0","52","12"
"0","51","35","16","16"
"96","75","25","20","8"
"88","81","0","8","68"
"72","72","10","52","36"
"36","45","35","56","8"
"52","93","60","92","44"
"72","48","5","0","92"
"100","21","5","60","76"
"12","3","50","60","32"
"96","81","65","84","16"
"100","81","75","52","16"
"0","21","35","72","24"
"24","42","20","48","100"
"40","36","0","84","76"
"4","72","80","64","100"
"16","15","95","88","68"
"52","0","70","68","32"
"16","15","95","72","0"
"56","42","0","60","4"
"36","21","30","92","20"
"60","45","45","20","68"
"12","39","5","44","48"
"88","33","10","16","20"
"68","21","65","12","32"
"100","78","30","40","80"
"4","45","0","44","36"
"60","63","55","68","76"
"60","6","90","68","16"
"64","75","55","56","24"
"12","0","50","68","68"
"40","54","80","72","8"
"8","6","90","4","92"
"44","63","0","0","80"
"32","39","80","52","96"
"36","48","50","48","88"
"92","39","75","40","44"
"20","96","70","64","100"
"28","12","45","68","68"
"96","81","60","60","24"
"24","6","40","56","16"
"68","45","85","60","60"
"68","57","10","28","92"
"84","93","35","92","88"
"4","9","70","56","100"
"60","84","60","0","8"
"8","0","30","4","80"
"32","9","10","80","28"
"32","0","35","48","20"
"4","96","40","28","24"
"24","39","40","88","16"
"16","54","85","32","84"
"96","24","35","64","84"
"32","12","0","100","84"
"48","93","80","48","96"
"64","60","85","44","28"
"44","66","10","84","76"
"12","6","95","28","60"
"80","27","80","40","60"
"76","6","60","60","48"
"16","87","35","24","24"
"32","72","0","80","12"
"36","57","55","20","96"
"24","93","15","16","76"
"20","27","0","0","56"
"64","60","90","20","28"
"44","90","20","96","20"
"88","18","95","64","84"
"56","48","25","60","68"
"24","75","80","28","28"
"52","9","100","0","32"
"92","24","20","4","0"
"88","3","45","8","28"
"0","21","30","88","24"
"44","30","20","84","16"
"4","84","55","8","88"
"8","96","0","72","28"
"68","102","100","64","32"
"52","27","75","100","0"
"8","81","35","60","32"
"48","21","10","60","24"
"20","72","5","68","20"
"52","48","55","40","60"
"0","51","70","96","84"
"60","48","15","28","100"
"96","18","25","84","84"
"88","6","25","40","76"
"100","0","10","92","52"
"72","9","60","48","88"
"32","9","5","52","80"
"24","30","0","92","44"
"52","93","95","12","88"
"96","60","75","24","16"
"24","60","30","12","92"
"52","48","80","48","88"
"16","54","70","76","72"
"84","24","40","60","4"
"68","57","85","40","80"
"72","75","5","100","4"
"92","12","25","20","12"
"28","90","100","84","80"
"8","18","15","60","36"
"84","69","30","100","4"
"84","15","45","8","0"
"84","48","80","84","0"
"36","0","75","52","56"
"68","63","100","56","96"
"24","48","80","32","76"
"40","24","30","64","48"
"12","12","40","36","52"
"0","75","25","0","96"
"56","99","95","88","96"
"28","84","75","36","88"
"68","69","50","92","0"
"0","72","85","20","36"
"56","75","100","16","40"
"44","48","75","52","48"
"56","57","60","72","24"
"52","21","100","48","24"
"4","57","55","64","52"
"48","102","20","64","52"
"84","93","80","12","0"
"32","54","95","56","16"
"56","27","25","60","56"
"16","12","95","40","96"
"20","60","40","28","68"
"56","66","25","12","56"
"96","78","20","24","32"
"16","18","95","40","100"
"92","48","20","48","8"
"64","51","95","16","64"
"88","51","5","100","68"
"96","90","55","52","68"
"44","69","15","92","16"
"52","45","0","88","0"
"40","75","30","36","40"
"76","48","70","36","28"
"56","72","35","76","64"
"92","60","65","16","80"
"92","9","80","20","52"
"40","39","15","16","32"
"60","90","80","60","12"
"36","45","95","92","84"
"52","0","45","56","8"
"52","87","80","4","44"
"80","18","50","76","8"
"92","60","45","12","32"
"28","39","80","36","60"
"76","18","75","52","92"
"32","84","40","36","84"
"44","15","15","36","0"
"56","87","5","12","56"
"16","9","15","32","36"
"16","63","35","24","44"
"84","30","90","24","24"
"0","102","25","32","20"
"64","102","30","36","96"
"20","3","45","4","32"
"24","42","55","16","68"
"32","63","75","12","12"
"8","48","10","84","52"
"40","45","15","20","92"
"28","75","65","100","16"
"76","72","60","72","56"
"76","27","40","24","100"
"40","66","10","4","12"
"52","6","75","36","72"
"28","57","40","32","100"
"0","57","60","92","16"
"84","36","90","12","52"
"40","75","45","88","68"
"32","42","90","84","80"
"12","81","75","12","8"
"20","30","45","88","92"
"32","99","5","0","96"
"72","57","85","96","24"
"80","78","65","40","8"
"84","90","70","44","64"
"80","87","35","32","52"
"72","27","75","76","80"
"88","66","10","100","64"
"56","45","35","36","44"
"16","3","30","12","16"
"80","3","65","92","4"
"40","72","15","28","60"
"44","30","45","68","68"
"32","36","80","56","40"
"84","60","80","32","80"
"12","60","0","64","88"
"44","81","35","4","92"
"68","48","95","68","72"
"56","39","0","60","28"
"12","96","60","96","0"
"40","33","90","24","36"
"52","99","70","100","36"
"52","27","85","44","0"
"96","36","25","92","52"
"56","72","95","100","100"
"96","99","70","88","96"
"32","0","25","72","96"
"68","15","25","80","48"
"36","24","30","28","24"
"20","69","40","84","76"
"16","27","50","4","72"
"56","3","20","84","64"
"80","15","75","84","28"
"0","63","80","92","84"
"4","72","10","32","44"
"56","72","45","80","64"
"24","24","80","88","4"
"84","63","40","40","52"
"44","66","50","20","72"
"100","6","0","36","100"
"72","45","70","28","28"
"92","45","0","36","36"
"8","63","65","84","12"
"72","84","10","80","36"
"60","63","50","84","52"
"76","18","5","72","52"
"96","69","20","100","64"
"80","36","20","40","24"
"40","63","100","64","44"
"0","12","75","56","76"
"44","93","15","80","100"
"28","9","70","80","52"
"68","69","65","96","60"
"0","24","70","88","44"
"96","45","80","52","0"
"88","33","70","4","72"
"32","72","45","8","48"
"4","81","15","0","92"
"44","0","30","28","96"
"4","51","40","100","76"
"64","9","55","12","48"
"8","78","35","72","24"
"72","102","95","68","8"
"72","15","55","12","40"
"76","9","20","28","76"
"88","78","50","24","52"
"100","24","85","48","32"
"28","33","5","44","80"
"88","51","90","84","52"
"92","30","70","36","12"
"92","45","85","16","56"
"72","96","35","4","88"
"64","69","10","28","8"
"8","87","40","84","52"
"56","18","75","32","36"
"100","69","70","56","36"
"24","48","55","64","24"
"44","99","15","80","24"
"24","102","55","20","56"
"36","60","50","0","20"
"80","18","35","20","96"
"0","81","20","24","68"
"24","42","35","64","28"
"44","48","100","28","48"
"76","0","25","52","0"
"20","15","90","88","52"
"52","78","90","16","52"
"20","54","5","48","60"
"16","12","40","8","28"
"36","42","60","24","76"
"0","90","85","96","28"
"64","9","75","68","4"
"64","6","65","100","36"
"32","48","95","24","48"
"44","27","40","84","32"
"84","6","0","20","48"
"32","63","55","52","36"
"52","90","65","56","0"
"20","18","20","4","28"
"36","6","40","0","72"
"80","27","65","40","32"
"88","42","80","4","24"
"56","21","60","64","76"
"64","30","55","68","0"
"28","90","100","80","96"
"72","18","70","92","80"
"72","63","20","84","44"
"20","51","40","28","20"
"40","84","90","12","100"
"36","6","25","76","20"
"88","93","85","60","52"
"56","30","30","0","100"
"84","78","85","20","36"
"4","57","20","84","72"
"0","75","10","24","52"
"32","69","35","52","60"
"8","24","25","64","52"
"80","42","100","32","52"
"12","78","45","4","56"
"32","24","70","36","52"
"96","84","15","4","16"
"52","0","95","24","16"
"28","87","45","20","92"
"40","90","15","0","88"
"44","33","90","28","16"
"28","75","30","64","12"
"80","63","30","100","40"
"12","6","5","88","64"
"68","57","80","8","40"
"8","3","65","84","24"
"32","45","10","92","88"
"8","36","65","32","4"
"76","90","40","20","20"
"24","72","75","100","4"
"8","99","65","4","16"
"92","30","40","8","68"
"68","21","25","72","88"
"4","30","80","40","40"
"48","99","90","20","92"
"20","45","0","44","60"
"64","12","60","8","36"
"12","93","75","40","56"
"12","30","35","72","84"
"96","57","90","56","56"
"60","66","60","72","60"
"40","66","20","52","24"
"56","18","40","96","60"
"20","63","85","12","76"
"4","96","65","4","32"
"28","75","95","28","72"
"100","99","60","20","88"
"84","90","15","4","36"
"4","54","70","12","12"
"44","48","45","48","92"
"64","60","10","8","100"
"16","21","40","52","84"
"80","21","60","92","36"
"88","0","60","96","100"
"52","24","80","52","60"
"24","102","60","8","48"
"100","42","55","20","28"
"16","81","60","8","40"
"52","90","90","72","40"
"76","9","0","84","72"
"20","60","25","64","40"
"76","72","0","88","28"
"60","78","35","8","68"
"76","9","35","68","36"
"24","30","20","32","52"
"60","48","20","40","88"
"60","90","35","20","4"
"8","42","85","40","80"
"92","15","90","88","100"
"12","66","70","0","44"
"76","84","15","100","80"
"40","60","70","80","48"
"88","33","95","68","0"
"0","9","85","40","0"
"44","75","0","80","48"
"52","93","85","0","28"
"80","21","95","8","32"
"44","0","25","52","16"
"8","75","100","88","68"
"52","72","30","100","8"
"12","39","30","28","56"
"84","54","80","60","4"
"84","27","50","12","72"
"16","57","0","96","60"
"40","6","100","72","76"
"24","0","15","92","32"
"64","39","40","72","40"
"24","15","55","52","40"
"88","90","100","12","92"
"0","96","35","24","76"
"4","21","60","88","0"
"4","39","45","68","60"
"84","84","55","56","16"
"96","87","100","100","32"
"28","21","95","8","36"
"60","72","40","28","20"
"80","90","35","80","0"
"64","30","20","96","60"
"56","60","95","100","16"
"64","9","45","64","88"
"0","39","5","100","52"
"68","45","80","88","72"
"36","45","60","24","56"
"52","96","25","56","52"
"16","99","10","20","40"
"4","72","15","24","12"
"76","87","50","100","32"
"60","84","100","48","32"
"72","24","10","88","52"
"40","0","45","96","52"
"28","42","45","76","40"
"16","9","75","0","28"
"60","93","45","60","52"
"16","9","15","72","80"
"72","24","80","92","40"
"16","30","45","96","40"
"68","63","10","68","96"
"44","72","100","60","0"
"76","69","40","24","16"
"4","96","65","76","60"
"44","69","60","24","68"
"92","96","10","64","72"
"20","90","55","40","68"
"32","39","0","40","88"
"68","72","80","92","40"
"64","78","55","28","56"
"20","75","45","20","44"
"8","54","35","44","56"
"72","96","15","96","36"
"36","12","45","4","36"
"4","42","35","8","56"
"12","99","100","20","60"
"4","78","20","8","100"
"84","87","5","68","52"
"56","24","85","52","48"
"52","66","40","52","92"
"96","69","80","80","80"
"24","3","100","36","76"
"84","87","85","68","36"
"32","78","70","92","40"
"68","48","55","100","24"
"32","90","25","76","92"
"4","75","20","16","48"
"48","12","65","72","76"
"8","87","0","12","44"
"24","27","10","84","24"
"88","30","85","88","16"
"48","96","30","80","52"
"64","33","25","20","32"
"48","36","0","88","40"
"100","57","20","60","72"
"48","69","75","84","52"
"0","93","75","24","84"
"48","42","35","56","0"
"32","27","80","32","4"
"60","0","95","84","88"
"4","84","35","0","64"
"96","21","55","96","96"
"16","57","40","96","64"
"84","18","10","96","0"
"84","63","20","64","48"
"52","30","60","12","12"
"24","15","30","36","24"
"76","30","40","40","100"
"32","57","100","60","76"
"20","12","40","52","12"
"68","42","30","88","16"
"52","54","30","88","64"
"60","27","0","8","52"
"80","18","20","48","20"
"60","99","55","36","80"
"24","36","65","20","48"
"56","75","0","32","76"
"0","48","15","84","84"
"100","84","60","36","20"
"48","42","0","76","84"
"100","24","5","40","96"
"52","45","80","76","16"
"52","66","100","28","52"
"80","87","10","92","60"
"84","60","85","12","8"
"52","21","95","72","56"
"100","75","50","12","16""Chapitre 1 ","Chapitre 2","Chapitre 3","Chapitre 4","Chapitre 5"
"56","6","75","60","40"
"0","48","55","48","72"
"80","6","55","0","48"
"52","12","0","28","32"
"20","54","65","76","80"
"0","72","75","56","80"
"100","69","65","92","24"
"4","87","55","68","32"
"44","87","35","72","8"
"40","15","70","76","88"
"12","75","70","40","8"
"96","75","20","84","12"
"84","93","65","88","76"
"12","27","25","36","56"
"44","72","40","48","88"
"76","75","20","0","12"
"92","75","75","20","28"
"72","93","85","64","8"
"8","57","85","32","44"
"28","93","5","8","16"
"24","48","70","56","48"
"16","33","70","56","76"
"76","54","15","0","92"
"36","3","55","60","76"
"88","30","35","88","44"
"60","9","100","32","4"
"36","54","25","96","60"
"96","90","85","100","16"
"36","96","100","20","88"
"36","72","40","64","80"
"100","30","65","40","56"
"80","42","35","88","32"
"16","30","70","56","32"
"76","90","75","36","92"
"96","78","75","48","28"
"12","60","60","36","8"
"84","84","20","64","20"
"68","18","50","68","8"
"96","24","60","96","20"
"16","21","5","44","44"
"16","15","5","0","24"
"76","93","100","36","36"
"92","72","10","52","32"
"16","36","30","36","56"
"24","39","25","80","92"
"84","60","55","32","36"
"76","54","15","76","12"
"36","33","60","12","4"
"80","57","0","8","52"
"44","75","0","24","48"
"40","84","65","32","32"
"88","69","100","60","96"
"44","42","15","20","92"
"56","93","50","84","68"
"92","78","60","40","60"
"12","48","5","44","60"
"68","33","55","64","52"
"44","48","40","100","88"
"40","39","30","76","28"
"40","42","65","64","100"
"12","99","100","40","40"
"60","9","65","76","64"
"92","27","65","64","84"
"100","12","25","16","48"
"48","39","80","0","4"
"52","81","15","88","12"
"20","54","85","4","56"
"72","81","5","56","52"
"36","54","100","16","12"
"20","6","25","88","60"
"36","78","40","8","56"
"56","69","25","48","76"
"28","36","85","24","12"
"24","99","5","28","4"
"96","60","70","28","16"
"12","12","5","0","92"
"4","15","55","72","32"
"84","24","25","32","76"
"84","99","60","28","88"
"60","18","55","60","28"
"32","51","55","4","24"
"56","72","45","88","48"
"72","27","50","32","96"
"60","3","70","12","12"
"76","39","70","80","92"
"24","84","40","48","100"
"76","72","35","44","92"
"76","99","70","88","4"
"88","12","45","56","36"
"72","27","30","48","100"
"56","15","35","4","92"
"8","81","85","48","0"
"80","9","85","12","80"
"56","99","80","76","96"
"68","75","65","12","100"
"72","45","85","40","24"
"84","99","100","92","16"
"92","84","80","0","60"
"20","33","35","20","12"
"100","54","0","40","48"
"88","42","100","8","0"
"88","30","65","60","16"
"68","66","20","72","0"
"16","75","20","20","48"
"52","33","60","56","96"
"92","54","0","4","32"
"36","93","25","8","44"
"56","60","70","52","28"
"44","3","0","88","96"
"36","18","95","76","0"
"72","42","25","40","88"
"44","60","35","28","48"
"8","84","90","72","28"
"92","27","5","12","12"
"100","51","75","92","72"
"48","3","45","20","16"
"88","9","75","100","12"
"64","3","70","20","16"
"84","93","80","84","48"
"68","30","80","88","84"
"20","69","5","8","44"
"100","72","65","28","64"
"0","66","10","96","36"
"96","39","0","68","44"
"0","42","95","56","64"
"32","63","0","48","8"
"24","63","30","20","76"
"76","63","10","24","80"
"28","15","70","8","24"
"48","9","5","44","76"
"64","81","60","64","16"
"80","3","35","48","32"
"12","60","20","4","28"
"36","39","70","20","24"
"32","33","35","48","16"
"96","45","15","96","100"
"100","87","20","48","32"
"88","39","95","84","64"
"4","9","95","16","8"
"96","3","75","32","64"
"100","96","25","60","4"
"96","57","100","0","60"
"40","9","70","24","68"
"96","96","30","48","24"
"56","81","60","92","60"
"40","33","0","72","36"
"52","69","70","80","36"
"16","39","90","24","60"
"68","15","35","0","56"
"96","30","15","40","88"
"52","54","60","40","56"
"64","33","75","20","12"
"24","72","5","80","80"
"4","87","90","92","64"
"100","93","75","24","44"
"80","66","25","0","24"
"84","6","40","52","100"
"96","42","15","72","68"
"24","96","15","16","84"
"100","33","75","16","52"
"68","72","30","84","12"
"64","30","0","32","56"
"52","102","20","100","52"
"4","3","0","24","32"
"0","45","65","48","84"
"76","39","10","60","48"
"60","63","60","0","44"
"4","39","60","12","28"
"92","30","60","64","8"
"100","39","75","28","56"
"84","21","40","88","44"
"12","12","80","0","92"
"88","63","95","12","72"
"96","15","20","56","24"
"20","60","20","4","64"
"80","54","75","88","20"
"84","36","20","52","24"
"44","87","0","52","76"
"56","36","45","52","36"
"0","36","75","60","20"
"64","57","95","76","40"
"60","90","65","88","20"
"68","69","15","68","36"
"44","39","35","60","36"
"84","75","85","48","88"
"36","21","5","100","64"
"100","93","25","80","96"
"56","99","55","80","12"
"28","24","50","12","40"
"40","15","60","8","68"
"0","36","10","76","76"
"48","63","5","76","16"
"36","6","40","80","76"
"0","96","65","36","24"
"52","90","80","20","60"
"8","90","10","40","72"
"52","3","5","84","96"
"52","9","55","44","80"
"48","81","90","4","0"
"68","69","5","36","64"
"84","12","100","76","20"
"56","9","100","56","12"
"64","96","60","16","88"
"64","57","40","64","12"
"20","36","35","8","92"
"76","21","90","100","80"
"76","72","0","24","80"
"20","60","75","64","84"
"8","36","10","80","36"
"48","21","50","100","60"
"36","39","10","8","100"
"72","12","5","28","16"
"84","39","95","0","76"
"96","54","15","76","52"
"72","15","50","96","96"
"92","24","95","52","24"
"44","30","55","96","76"
"60","84","70","88","92"
"4","99","95","20","88"
"4","9","65","68","4"
"92","39","5","80","80"
"48","45","100","32","48"
"20","24","60","72","56"
"48","39","70","48","0"
"96","18","50","72","68"
"40","87","35","68","56"
"40","30","30","48","64"
"24","36","10","36","96"
"68","45","60","28","32"
"80","75","75","8","24"
"52","18","10","40","44"
"56","93","100","72","80"
"0","63","95","44","4"
"60","36","40","56","80"
"84","51","25","84","0"
"60","57","75","24","92"
"100","72","25","24","80"
"28","36","50","56","48"
"4","36","60","44","96"
"84","6","70","52","68"
"72","30","90","48","100"
"96","93","100","80","84"
"12","3","55","12","32"
"52","90","55","92","36"
"72","6","100","64","92"
"8","39","95","4","96"
"40","9","60","60","88"
"52","63","100","60","88"
"76","90","65","28","36"
"32","36","75","72","72"
"12","72","95","92","60"
"92","15","50","64","0"
"12","24","100","8","20"
"68","66","10","76","100"
"68","6","10","52","92"
"4","12","90","36","72"
"4","39","20","92","4"
"20","36","0","36","40"
"0","15","10","92","96"
"88","69","65","36","24"
"96","15","35","48","60"
"56","48","75","16","88"
"68","9","25","96","0"
"80","57","0","12","8"
"8","87","70","44","64"
"80","96","25","44","72"
"100","87","55","12","84"
"88","78","100","68","80"
"60","72","15","0","40"
"100","6","25","100","16"
"72","63","100","44","8"
"44","12","70","28","0"
"100","63","30","60","64"
"76","45","0","40","32"
"84","72","80","56","12"
"24","42","65","36","68"
"48","87","100","44","0"
"88","3","85","100","60"
"84","36","65","12","48"
"96","90","95","76","0"
"36","33","75","72","100"
"20","51","60","80","56"
"68","96","85","72","28"
"56","0","35","100","60"
"12","12","0","8","72"
"72","87","35","96","28"
"16","15","10","0","68"
"88","39","25","88","80"
"24","84","50","76","8"
"96","24","90","92","96"
"60","33","45","56","52"
"84","27","55","48","60"
"76","24","40","80","32"
"88","0","70","24","80"
"28","75","40","88","92"
"92","15","50","4","32"
"72","36","55","44","64"
"44","54","30","16","16"
"48","75","25","88","28"
"40","93","0","80","48"
"16","24","85","20","20"
"28","96","50","0","0"
"88","45","0","32","24"
"96","81","50","0","84"
"20","66","35","64","36"
"44","0","65","96","100"
"76","78","75","36","32"
"16","81","65","64","84"
"20","3","25","64","100"
"24","48","30","80","48"
"44","51","50","16","40"
"72","12","55","8","64"
"0","15","25","24","12"
"100","0","75","80","76"
"52","99","55","52","16"
"72","57","45","80","76"
"8","81","5","4","8"
"20","78","0","100","84"
"68","51","25","28","52"
"72","99","60","28","84"
"32","48","5","36","20"
"100","27","75","0","52"
"48","81","65","20","72"
"84","39","85","100","0"
"20","54","20","100","84"
"44","51","45","12","76"
"72","39","50","80","48"
"8","15","5","44","44"
